    ID |    NAME       |  RA   |  DEC  |  MAJOR_DIAMETER | TYPE | SPECTRAL_INDEX|  ALT_NAMES         |       CLASS     | DUMMY
     33|SNR G317.3-00.2|222.417|-59.767|          11.0|S   |              |                          |        SNR SHELL|
     34|SNR G286.5-01.2|158.917|-59.700|          26.0|S?  |              |                          |        SNR SHELL|
     35|SNR G292.0+01.8|171.150|-59.267|          12.0|C   |          0.40|MSH 11-54                 |    SNR COMPOSITE|
     36|SNR G320.6-01.6|229.458|-59.267|          60.0|S   |              |                          |        SNR SHELL|
     37|SNR G320.4-01.2|228.625|-59.133|          35.0|C   |          0.40|MSH 15-52, RCW 89         |    SNR COMPOSITE|
     38|SNR G318.2+00.1|223.708|-59.067|          40.0|S   |              |                          |        SNR SHELL|
     39|SNR G284.3-01.8|154.562|-59.000|          24.0|S   |          0.30|MSH 10-53                 |        SNR SHELL|
     40|SNR G318.9+00.4|224.625|-58.483|          30.0|C   |          0.20|                          |    SNR COMPOSITE|
     41|SNR G321.9-01.1|230.938|-58.217|          28.0|S   |              |                          |        SNR SHELL|
     42|SNR G315.1+02.7|216.125|-57.833|         190.0|S   |              |                          |        SNR SHELL|
     43|SNR G321.9-00.3|230.167|-57.567|          31.0|S   |          0.30|                          |        SNR SHELL|
     44|SNR G322.1+00.0|230.204|-57.167|           8.0|S?  |              |                          |        SNR SHELL|
     45|SNR G322.5-00.1|230.846|-57.100|          15.0|C   |          0.40|                          |    SNR COMPOSITE|
     46|SNR G323.5+00.1|232.175|-56.350|          13.0|S   |          0.40|                          |        SNR SHELL|
     47|SNR G326.3-01.8|238.250|-56.167|          38.0|C   |              |MSH 15-56                 |    SNR COMPOSITE|
     48|SNR G327.1-01.1|238.604|-55.150|          18.0|C   |              |                          |    SNR COMPOSITE|
     49|SNR G332.5-05.6|250.833|-54.500|          35.0|S   |          0.70|                          |        SNR SHELL|
     50|SNR G327.2-00.1|237.729|-54.300|           5.0|S   |              |                          |        SNR SHELL|
     51|SNR G327.4+00.4|237.083|-53.817|          21.0|S   |          0.60|KES 27                    |        SNR SHELL|
     52|SNR G327.4+01.0|236.700|-53.333|          14.0|S   |              |                          |        SNR SHELL|
     53|SNR G328.4+00.2|238.875|-53.283|           5.0|F   |          0.00|(MSH 15-57)               |SNR FILLED-CENTER|
